16710562	-0.01	0.02	0.99	-0.03	0.01	0.01
16718993	-0.01	0.02	1.00	-0.02	0.02	0.01
16727379	-0.01	0.02	0.99	-0.02	0.04	0.02
16735857	-0.01	0.02	1.00	-0.01	0.06	0.02
16744366	-0.01	0.02	1.00	-0.01	0.07	0.02
16752727	-0.01	0.02	1.00	-0.01	0.07	0.02
16761253	-0.01	0.02	0.99	-0.01	0.10	0.02
16769756	-0.02	0.02	0.99	-0.01	0.09	0.03
16777701	-0.01	0.02	1.00	-0.02	0.04	0.02
16786163	-0.01	0.02	1.00	-0.02	0.02	0.02
16795090	-0.02	0.02	0.99	-0.01	0.02	0.02
16803055	-0.01	0.02	0.99	-0.01	0.02	0.02
16811518	-0.01	0.02	0.99	-0.01	0.03	0.02
16820065	-0.01	0.02	1.00	0.00	0.04	0.02
16828513	-0.02	0.02	0.99	0.01	0.05	0.01
16837336	-0.03	0.03	0.98	0.00	0.04	0.01
16845671	-0.02	0.02	0.98	-0.03	0.00	0.02
16854092	-0.02	0.02	0.99	-0.04	-0.03	0.03
16862618	-0.01	0.02	1.00	-0.04	-0.05	0.03
16870749	-0.01	0.02	1.00	-0.03	-0.03	0.02
16879463	-0.02	0.02	0.99	-0.02	-0.02	0.02
16888053	-0.02	0.02	0.98	-0.02	-0.03	0.02
16896109	-0.02	0.03	0.98	-0.03	-0.09	0.01
16904775	-0.01	0.02	1.00	-0.04	-0.14	0.00
16913268	-0.01	0.02	0.99	-0.05	-0.16	0.01
16921866	-0.02	0.03	0.99	-0.09	-0.17	0.02
16930353	-0.01	0.02	0.99	-0.14	-0.19	0.02
16938433	0.00	0.01	1.00	-0.18	-0.22	0.02
16946838	0.00	0.01	1.00	-0.17	-0.19	0.02
16955209	0.00	0.01	1.00	-0.12	-0.12	0.02
16963742	-0.00	0.02	1.00	-0.09	-0.09	0.02
16972412	0.00	0.01	1.00	-0.09	-0.09	0.02
16980807	-0.00	0.01	0.99	-0.07	-0.08	0.02
16989289	0.00	0.01	1.00	-0.07	-0.07	0.02
16997720	0.00	0.01	1.00	-0.07	-0.07	0.03
17006104	0.00	0.01	0.99	-0.06	-0.06	0.02
17014551	0.00	0.01	0.99	-0.06	-0.06	0.02
17023118	0.00	0.01	1.00	-0.06	-0.06	0.02
17031494	-0.00	0.00	1.00	-0.05	-0.07	0.02
17040078	-0.01	0.01	1.00	-0.04	-0.06	0.01
17048171	0.00	0.01	1.00	-0.05	-0.07	0.02
17056706	0.01	0.01	1.00	-0.05	-0.08	0.02
17065186	0.01	0.01	1.00	-0.05	-0.08	0.01
17073615	0.01	0.01	1.00	-0.04	-0.06	0.01
17082105	0.01	0.01	1.00	-0.04	-0.06	0.01
17090702	0.01	0.01	0.99	-0.04	-0.05	0.01
17099348	0.01	0.01	0.99	-0.04	-0.03	0.02
17107309	0.00	0.01	1.00	-0.04	0.01	0.03
17116197	0.01	0.00	0.99	-0.04	0.02	0.03
17124561	0.01	0.00	1.00	-0.04	0.02	0.03
17132864	0.01	0.00	0.99	-0.04	0.02	0.02
17141339	0.00	0.01	1.00	-0.03	0.02	0.02
17149649	0.00	0.01	1.00	-0.03	0.02	0.02
17158029	-0.01	0.01	1.01	-0.04	0.00	0.02
17166487	0.00	0.01	1.00	-0.05	-0.03	0.02
